Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow
0.0,4.4,11.0,41.0,32.0,1012.1,2.0,32.3,False,False
0.0,6.0,10.4,50.0,17.0,1012.4,1.0,31.9,False,False
0.0,8.0,11.0,46.0,24.0,1013.0,1.0,31.2,False,False
0.0,7.0,10.4,44.0,16.0,1013.6,6.0,29.8,False,False
0.0,7.0,10.8,46.0,16.0,1012.6,1.0,29.6,False,False
0.0,7.2,10.7,41.0,18.0,1012.2,0.0,30.5,False,False
0.0,5.2,7.8,48.0,18.0,1013.1,2.0,31.5,False,False
0.0,9.2,10.6,54.0,12.0,1014.6,0.0,30.2,False,False
0.0,9.6,10.6,50.0,15.0,1015.2,0.0,28.6,False,False
0.0,9.2,11.1,48.0,14.0,1013.2,1.0,28.8,False,False
0.0,8.0,10.9,41.0,11.0,1011.0,0.0,30.0,False,False
0.0,7.0,11.0,35.0,40.0,1010.6,1.0,29.0,False,False
0.0,4.8,10.4,28.0,42.0,1012.1,1.0,29.9,False,False
0.0,4.8,8.9,33.0,56.0,1012.1,6.0,28.7,False,False
0.0,4.0,11.0,41.0,45.0,1010.5,1.0,30.2,False,False
0.0,7.4,11.0,41.0,32.0,1009.7,0.0,32.3,False,False
0.0,6.6,11.3,43.0,15.0,1009.4,0.0,32.7,False,False
0.0,7.6,11.0,41.0,41.0,1010.1,3.0,31.3,False,False
0.0,5.4,8.1,26.0,57.0,1009.8,2.0,29.9,False,False
0.0,4.8,8.4,35.0,72.0,1010.0,3.0,28.3,False,False
0.0,5.4,10.9,41.0,36.0,1009.0,1.0,30.9,False,False
0.0,7.2,10.0,52.0,28.0,1009.1,1.0,31.8,False,False
0.0,7.6,11.0,52.0,20.0,1010.7,0.0,30.3,False,False
0.0,10.8,10.5,44.0,19.0,1010.3,0.0,28.3,False,False
0.0,6.6,11.0,43.0,13.0,1010.8,0.0,28.4,False,False
0.0,6.8,11.1,41.0,8.0,1010.7,0.0,29.7,False,False
0.0,5.6,10.9,28.0,37.0,1011.2,0.0,27.4,False,False
0.0,5.0,10.8,33.0,56.0,1011.3,1.0,27.9,False,False
0.0,5.6,10.7,33.0,33.0,1010.6,0.0,29.5,False,False
0.0,7.6,9.4,35.0,54.0,1011.7,1.0,27.6,False,False
0.0,5.4,8.7,33.0,54.0,1012.6,6.0,27.1,False,False
0.0,5.0,10.1,33.0,50.0,1011.8,3.0,29.5,False,False
0.0,5.6,9.4,44.0,23.0,1011.2,5.0,32.0,False,False
0.0,6.2,11.4,54.0,11.0,1010.9,3.0,33.5,False,False
0.0,8.6,10.3,52.0,45.0,1011.8,5.0,29.3,False,False
0.0,6.2,10.2,44.0,62.0,1011.3,1.0,28.3,False,False
0.0,6.8,11.0,46.0,21.0,1011.9,0.0,31.8,False,False
0.0,6.4,11.2,50.0,18.0,1012.0,0.0,31.3,False,False
0.0,7.6,11.1,52.0,13.0,1012.0,0.0,31.9,False,False
0.0,8.0,10.1,41.0,18.0,1011.7,6.0,30.7,False,False
0.0,8.0,8.7,37.0,25.0,1011.9,7.0,30.9,False,False
0.0,6.4,10.1,46.0,15.0,1011.6,3.0,31.0,False,False
0.0,7.8,10.9,37.0,24.0,1012.1,5.0,30.1,False,False
0.0,7.4,10.3,43.0,19.0,1012.5,1.0,31.7,False,False
0.0,8.0,11.0,31.0,27.0,1012.2,5.0,29.4,False,False
0.0,9.4,8.6,41.0,13.0,1010.4,3.0,33.5,False,False
0.0,8.2,11.1,43.0,13.0,1012.5,2.0,30.8,False,False
0.0,9.8,10.8,44.0,8.0,1013.7,1.0,29.8,False,False
0.0,9.2,10.8,46.0,9.0,1014.7,1.0,29.5,False,False
0.0,10.1,10.6,48.0,20.0,1013.2,2.0,30.5,False,False
0.0,6.8,10.4,39.0,37.0,1013.0,1.0,30.7,False,False
0.0,7.2,11.0,41.0,48.0,1012.6,4.0,29.5,False,False
0.0,6.6,10.1,52.0,25.0,1010.8,3.0,33.2,False,False
0.0,11.0,8.7,48.0,15.0,1011.3,4.0,30.1,False,False
0.0,8.6,8.6,37.0,26.0,1010.9,3.0,32.1,False,False
0.0,6.8,9.8,48.0,43.0,1010.1,3.0,31.6,False,False
0.0,7.6,9.4,46.0,44.0,1010.2,4.0,31.2,False,False
0.0,8.0,11.0,48.0,43.0,1009.8,3.0,33.0,False,False
0.0,6.4,11.0,33.0,52.0,1009.7,1.0,30.6,False,False
0.0,8.0,11.0,48.0,44.0,1009.0,1.0,32.0,False,False
0.0,7.7,9.4,41.0,47.0,1009.3,3.0,30.9,False,False
0.0,6.6,10.8,33.0,55.0,1010.0,2.0,30.9,False,False
